,n = 20
0.041666666666666664,0.0
0.08333333333333333,0.0
0.125,0.0
0.16666666666666666,0.0
0.20833333333333334,0.0
0.25,0.0
0.2916666666666667,0.0
0.3333333333333333,0.0
0.375,0.0
0.4166666666666667,0.04
0.4583333333333333,0.18
0.5,0.84
0.5416666666666666,0.86
0.5833333333333334,0.94
0.625,0.96
0.6666666666666666,1.0
0.7083333333333334,0.98
0.75,0.98
0.7916666666666666,1.0
0.8333333333333334,1.0
0.875,1.0
0.9166666666666666,1.0
0.9583333333333334,1.0
